PREFERENCE,PROPERTY_TYPE,CITY,LOCALITY,TRANSACT_TYPE,OWNTYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,FURNISH,FACING,AGE,FLOOR_NUM,TOTAL_FLOOR,MAX_PRICE,PRICE_SQFT,LISTING,AMENITIES
S,Residential Apartment,Gurgaon,Sector 60 Gurgaon,1,1,3,4,2,4,6,1,5,12,31000000,15158,R,"10,32,17,5,8,20,21,44,23,45,24,46,47,28,29,30,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102,103"
S,Independent House/Villa,Gurgaon,Sector 37D Gurgaon,1,1,3,3,3,4,5,5,,4,15000000,9771,R,"17,5,8,44,23,45,24,47,28,29,19,1,6,9,40,30,41,42,43,12,25,3,101,102,103"
S,Independent House/Villa,Gurgaon,South City 1,1,1,4,3,2,4,3,6,,1,180000000,36000,R,"5,8,10,44,23,45,46,47,39,28,19,6,9,40,42,101,102,103"
S,Residential Apartment,Gurgaon,Sector 60 Gurgaon,1,1,2,2,2,4,3,1,2,12,22000000,16117,R,"17,2,5,20,21,44,23,24,29,19,1,6,9,40,30,41,42,33,12,26,3,31,101,102"
R,Residential Apartment,Gurgaon,Sector 60 Gurgaon,,0,3,3,2,4,3,1,5,9,72000,29,R,"17,2,5,8,20,21,44,23,24,46,47,29,30,19,1,6,9,40,41,42,43,25,26,31,12,3,101,102,103"
R,Residential Apartment,Gurgaon,Sector 113 Gurgaon ,,0,2,2,3,1,5,6,8,13,43500,33,R,"10,32,17,5,8,20,21,44,23,45,24,46,47,28,29,30,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102,103"
S,Independent House/Villa,Gurgaon,Sector 113 Gurgaon ,1,1,3,3,3,1,3,5,,15,16600000,10500,R,"17,23,1,24,47,9,40,41,42,25,26,103"
S,Independent/Builder Floor,Gurgaon,Sector 57 Gurgaon,1,1,4,4,2,4,1,6,2,4,24500000,71637,R,"5,21,44,24,46,47,19,40,41,42,43"
S,Independent/Builder Floor,Gurgaon,Sector 57 Gurgaon,1,1,4,4,2,4,1,6,1,4,25000000,73099,R,"21,44,24,46,19,40,41,42,43"
S,Independent/Builder Floor,Gurgaon,Sector 57 Gurgaon,1,1,4,4,2,4,5,6,1,4,24000000,91254,R,"5,21,44,24,46,19,40,41,42,43"
S,Independent/Builder Floor,Gurgaon,Sector 57 Gurgaon,1,1,3,3,2,4,5,6,4,4,17000000,92391,R,"5,21,44,24,19,40,41,42,43"
